name,Long Haul (reduced start and finish)
pr,208
date,elapsed_time
2013-11-06 09:47:26 +0000 UTC,282
2013-11-07 09:32:50 +0000 UTC,274
2013-11-08 09:49:13 +0000 UTC,279
2013-11-11 09:36:44 +0000 UTC,291
2013-11-12 09:44:42 +0000 UTC,246
2013-11-13 09:35:50 +0000 UTC,275
2013-11-14 09:43:05 +0000 UTC,267
2013-11-15 09:47:26 +0000 UTC,282
2013-11-18 09:31:07 +0000 UTC,294
2013-11-20 09:45:08 +0000 UTC,255
2013-11-21 09:44:41 +0000 UTC,301
2013-11-22 09:04:24 +0000 UTC,269
2013-11-27 09:28:00 +0000 UTC,285
2013-11-29 09:28:22 +0000 UTC,229
2013-12-03 09:36:45 +0000 UTC,267
2013-12-04 09:22:51 +0000 UTC,264
2013-12-05 09:35:26 +0000 UTC,290
2013-12-06 09:46:20 +0000 UTC,267
2013-12-09 10:00:07 +0000 UTC,289
2013-12-10 09:30:28 +0000 UTC,278
2013-12-11 09:38:24 +0000 UTC,287
2013-12-12 09:29:36 +0000 UTC,290
2013-12-13 09:13:09 +0000 UTC,286
2013-12-16 13:14:42 +0000 UTC,247
2013-12-17 09:46:52 +0000 UTC,286
2013-12-19 09:41:18 +0000 UTC,267
2014-01-03 09:38:31 +0000 UTC,221
2014-01-06 09:18:12 +0000 UTC,251
2014-01-07 09:39:06 +0000 UTC,266
2014-01-08 09:40:32 +0000 UTC,248
2014-01-09 09:30:11 +0000 UTC,249
2014-01-13 09:12:58 +0000 UTC,288
2014-01-14 09:07:24 +0000 UTC,271
2014-01-15 09:20:59 +0000 UTC,267
2014-01-16 09:49:51 +0000 UTC,297
2014-01-17 09:14:42 +0000 UTC,276
2014-01-20 09:17:16 +0000 UTC,246
2014-01-21 09:30:36 +0000 UTC,277
2014-01-22 09:31:40 +0000 UTC,253
2014-01-23 09:24:38 +0000 UTC,259
2014-01-24 09:22:22 +0000 UTC,285
2014-01-28 09:18:23 +0000 UTC,272
2014-01-29 09:19:42 +0000 UTC,297
2014-01-30 09:22:08 +0000 UTC,271
2014-01-31 09:35:33 +0000 UTC,285
2014-02-03 09:27:41 +0000 UTC,327
2014-02-19 09:18:40 +0000 UTC,259
2014-02-20 09:29:54 +0000 UTC,258
2014-02-21 09:29:29 +0000 UTC,255
2014-02-25 09:40:28 +0000 UTC,263
2014-02-26 09:39:16 +0000 UTC,274
2014-02-27 09:25:18 +0000 UTC,254
2014-02-28 09:12:53 +0000 UTC,292
2014-03-03 09:11:20 +0000 UTC,285
2014-03-04 09:19:43 +0000 UTC,237
2014-03-05 09:40:03 +0000 UTC,296
2014-03-06 09:19:58 +0000 UTC,261
2014-03-07 08:30:26 +0000 UTC,263
2014-03-12 09:41:07 +0000 UTC,276
2014-03-13 09:20:27 +0000 UTC,283
2014-03-14 09:35:48 +0000 UTC,287
2014-03-18 09:38:21 +0000 UTC,260
2014-03-19 09:31:49 +0000 UTC,315
2014-03-20 09:36:52 +0000 UTC,270
2014-03-21 09:33:40 +0000 UTC,249
2014-03-24 09:40:33 +0000 UTC,295
2014-03-25 09:24:27 +0000 UTC,259
2014-03-26 09:34:32 +0000 UTC,268
2014-03-28 09:18:12 +0000 UTC,315
2014-03-31 08:17:12 +0000 UTC,324
2014-04-01 08:47:07 +0000 UTC,247
2014-04-03 07:59:33 +0000 UTC,265
2014-04-08 08:43:52 +0000 UTC,210
2014-04-09 08:13:15 +0000 UTC,256
2014-04-10 08:37:34 +0000 UTC,282
2014-04-11 08:33:43 +0000 UTC,281
2014-04-15 08:28:30 +0000 UTC,294
2014-04-16 08:28:15 +0000 UTC,254
2014-04-17 08:30:57 +0000 UTC,269
2014-04-22 08:23:18 +0000 UTC,270
2014-04-24 08:42:42 +0000 UTC,303
2014-04-25 08:32:03 +0000 UTC,283
2014-04-28 08:22:09 +0000 UTC,275
2014-04-29 08:27:37 +0000 UTC,282
2014-04-30 08:38:47 +0000 UTC,260
2014-05-01 08:39:21 +0000 UTC,274
2014-05-07 08:33:38 +0000 UTC,256
2014-05-08 08:37:34 +0000 UTC,276
2014-05-09 08:38:56 +0000 UTC,233
2014-05-13 08:41:09 +0000 UTC,247
2014-05-15 08:38:22 +0000 UTC,269
2014-05-16 08:27:18 +0000 UTC,279
2014-05-20 08:36:48 +0000 UTC,310
2014-05-21 08:42:11 +0000 UTC,286
2014-05-22 08:22:53 +0000 UTC,284
